lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2,dist_capital_km,dist_bratislava_km,dist_uni_km,dist_airport_km,dist_motorway_km,dist_railway_km,urban_class,density_class,is_regional_capital,econ_proximity,econ_potential,edu_access_score,edu_infra_score,transport_score,connectivity_score,remoteness_index
500895,SK_500895,Veľký Cetín,SK023,Nitriansky kraj,1610.0,95.4728717,16.86342907,11.7,80.8,11.7,51.7,27.2,10.0,Large Village (1K-5K),Sparse (<100/km²),No,88.3,100,82.5,64.1,74.5,80.2,19.8
508578,SK_508578,Drábsko,SK032,Banskobystrický kraj,161.0,33.74991645,4.77038218,39.2,197.7,39.2,39.7,38.3,39.0,Small Village (<1K),Sparse (<100/km²),No,60.8,100,41.2,44.2,61.2,57.1,42.9
517071,SK_517071,Močiar,SK032,Banskobystrický kraj,161.0,7.69617968,20.91947,26.7,142.7,15.7,17.5,27.0,14.2,Small Village (<1K),Sparse (<100/km²),No,73.3,100,76.5,44.2,78.8,76.7,23.3
502804,SK_502804,Šarovce,SK023,Nitriansky kraj,1609.0,63.41313595,25.37329176,46.2,112.8,46.2,70.8,21.0,30.2,Large Village (1K-5K),Sparse (<100/km²),No,53.8,100,30.7,64.1,67.6,56.1,43.9
504220,SK_504220,Borský Svätý Jur,SK021,Trnavský kraj,1608.0,40.49848552,39.70518846,46.2,50.2,46.2,49.0,39.1,46.0,Large Village (1K-5K),Sparse (<100/km²),No,53.8,100,30.7,64.1,56.9,50.7,49.3
506532,SK_506532,Svinná,SK022,Trenčiansky kraj,1603.0,186.49783482,8.59527405,14.7,105.3,14.7,30.4,13.9,14.6,Large Village (1K-5K),Medium (100-500/km²),No,85.3,100,78.0,64.1,83.1,82.7,17.3
519570,SK_519570,Malcov,SK041,Prešovský kraj,1601.0,84.86551069,18.86514306,37.3,316.0,37.3,63.8,57.8,37.5,Large Village (1K-5K),Sparse (<100/km²),No,62.7,67.3,44.1,64.1,48.0,51.6,48.4
557609,SK_557609,Ďurďové,SK022,Trenčiansky kraj,160.0,33.18613719,4.82129026,36.7,142.0,27.5,63.7,9.9,27.4,Small Village (<1K),Sparse (<100/km²),No,63.3,100,58.8,44.1,75.3,68.4,31.6
520136,SK_520136,Čukalovce,SK041,Prešovský kraj,160.0,17.71864709,9.03003481,67.7,385.7,67.7,82.3,78.2,67.9,Small Village (<1K),Sparse (<100/km²),No,32.3,7.9,0,44.1,24.5,21.9,78.1
543462,SK_543462,Poľanovce,SK041,Prešovský kraj,160.0,13.09885205,12.21481084,28.6,292.4,28.6,44.7,26.6,23.4,Small Village (<1K),Sparse (<100/km²),No,71.4,59.4,57.1,44.1,71.5,68.6,31.4
510815,SK_510815,Lúčky (okres Ružomberok),SK031,Žilinský kraj,1597.0,73.15786794,21.8295044,47.7,201.0,10.1,59.8,12.7,10.1,Large Village (1K-5K),Sparse (<100/km²),No,52.3,100,84.8,64.1,80.3,72.8,27.2
