lau_id,gisco_id,name,nuts3_id,nuts3_name,pop_2024,pop_density,area_km2
543268,SK_543268,Krompachy,SK042,Košický kraj,8584.0,376.19373901,22.81802994
528722,SK_528722,Sečovce,SK042,Košický kraj,8539.0,261.68364047,32.63100431
543853,SK_543853,Veľké Kapušany,SK042,Košický kraj,8479.0,286.24740007,29.62122974
506524,SK_506524,Stará Turá,SK022,Trenčiansky kraj,8379.0,164.58962816,50.90843265
500933,SK_500933,Vráble,SK023,Nitriansky kraj,8323.0,217.34096001,38.29466843
501522,SK_501522,Veľký Meder,SK021,Trnavský kraj,8254.0,148.59632383,55.54646163
545333,SK_545333,Dunajská Lužná,SK010,Bratislavský kraj,8014.0,297.44396366,26.94289002
524603,SK_524603,Jarovnice,SK041,Prešovský kraj,7992.0,395.96832385,20.18343266
529419,SK_529419,Bratislava - mestská časť Lamač,SK010,Bratislavský kraj,7827.0,1196.37775152,6.54224804
507911,SK_507911,Chorvátsky Grob,SK010,Bratislavský kraj,7690.0,508.76987036,15.11488877
523925,SK_523925,Svit,SK041,Prešovský kraj,7686.0,1714.63208641,4.48259429
529427,SK_529427,Bratislava - mestská časť Záhorská Bystrica,SK010,Bratislavský kraj,7564.0,234.30119137,32.2832332
518557,SK_518557,Krupina,SK032,Banskobystrický kraj,7510.0,84.68426335,88.68235612
509868,SK_509868,Námestovo,SK031,Žilinský kraj,7465.0,167.90747079,44.45901046
557358,SK_557358,Vrútky,SK031,Žilinský kraj,7399.0,399.94599048,18.49999794
528447,SK_528447,Kráľovský Chlmec,SK042,Košický kraj,7352.0,309.0587204,23.78835967
501140,SK_501140,Hurbanovo,SK023,Nitriansky kraj,7222.0,120.4906975,59.93823714
507938,SK_507938,Ivanka pri Dunaji,SK010,Bratislavský kraj,7172.0,503.04051589,14.2573009
599972,SK_599972,Košice - mestská časť Luník IX,SK042,Košický kraj,7146.0,6726.9137446,1.06229993
518468,SK_518468,Hriňová,SK032,Banskobystrický kraj,7023.0,55.54176062,126.44539751
510726,SK_510726,Liptovský Hrádok,SK031,Žilinský kraj,7003.0,382.37863843,18.31430759
502782,SK_502782,Šahy,SK023,Nitriansky kraj,6992.0,163.62883031,42.73085609
510106,SK_510106,Trstená,SK031,Žilinský kraj,6978.0,84.59829813,82.48392881
509507,SK_509507,Turzovka,SK031,Žilinský kraj,6936.0,198.7673663,34.89506416
525405,SK_525405,Veľký Šariš,SK041,Prešovský kraj,6909.0,268.47043224,25.73467753
517097,SK_517097,Nová Baňa,SK032,Banskobystrický kraj,6858.0,111.9399798,61.26497443
515612,SK_515612,Tornaľa,SK032,Banskobystrický kraj,6741.0,116.85578495,57.6864894
523828,SK_523828,Spišská Belá,SK041,Prešovský kraj,6659.0,196.43009178,33.90010125
502987,SK_502987,Želiezovce,SK023,Nitriansky kraj,6588.0,116.57180757,56.51452214
509248,SK_509248,Krásno nad Kysucou,SK031,Žilinský kraj,6544.0,235.66136689,27.76865842
514829,SK_514829,Hnúšťa,SK032,Banskobystrický kraj,6504.0,95.66513202,67.98715334
524778,SK_524778,Lipany,SK041,Prešovský kraj,6451.0,509.32848463,12.66569649
506281,SK_506281,Nemšová,SK022,Trenčiansky kraj,6240.0,186.53588323,33.45200876
512851,SK_512851,Beluša,SK022,Trenčiansky kraj,6186.0,120.52031582,51.32744598
599794,SK_599794,Košice - mestská časť Krásna,SK042,Košický kraj,6179.0,307.93618524,20.06584577
512729,SK_512729,Turčianske Teplice,SK031,Žilinský kraj,6178.0,184.51021358,33.48324128
508209,SK_508209,Rovinka,SK010,Bratislavský kraj,6099.0,689.50727712,8.84544689
508098,SK_508098,Miloslavov,SK010,Bratislavský kraj,6078.0,596.67802016,10.18639835
521299,SK_521299,Čaňa,SK042,Košický kraj,6051.0,521.29997541,11.60752021
529362,SK_529362,Bratislava - mestská časť Vajnory,SK010,Bratislavský kraj,6038.0,446.5106349,13.52263424
507989,SK_507989,Svätý Jur,SK010,Bratislavský kraj,5983.0,150.16672605,39.84238158
508225,SK_508225,Slovenský Grob,SK010,Bratislavský kraj,5934.0,583.89349685,10.16281228
523089,SK_523089,Sobrance,SK042,Košický kraj,5827.0,545.5879116,10.68022197
526509,SK_526509,Gelnica,SK042,Košický kraj,5807.0,100.80079526,57.60867248
517917,SK_517917,Rajec,SK031,Žilinský kraj,5777.0,183.62904438,31.46016481
509345,SK_509345,Oščadnica,SK031,Žilinský kraj,5755.0,98.14561921,58.63735994
520471,SK_520471,Medzilaborce,SK041,Prešovský kraj,5747.0,121.04334702,47.47885895
599841,SK_599841,Košice - mestská časť Šaca,SK042,Košický kraj,5744.0,119.9732661,47.8773329
510203,SK_510203,Zákamenné,SK031,Žilinský kraj,5687.0,132.62033188,42.88181095
517381,SK_517381,Žarnovica,SK032,Banskobystrický kraj,5669.0,186.46174843,30.40301857
509400,SK_509400,Raková,SK031,Žilinský kraj,5629.0,135.60796707,41.50936056
507750,SK_507750,Vrbové,SK021,Trnavský kraj,5597.0,400.612915,13.97109227
523623,SK_523623,Lendak,SK041,Prešovský kraj,5567.0,283.13756891,19.6618203
513156,SK_513156,Ilava,SK022,Trenčiansky kraj,5558.0,228.68652774,24.3040115
504017,SK_504017,Sládkovičovo,SK021,Trnavský kraj,5411.0,186.10289761,29.07531301
